TSIC,LFS11,ISIC,oneDigit,bigGroup,Note
,,2320,D,D,"delete TSIC=19209, LFS11=1920"
20113,2011,2330,D,D,
21001,2100,2330,D,D,
24209,2420,2330,D,D,
,,2330,D,D,"delete TSIC=38120, LFS11=3812"
38221,,2330,D,D,delete LFS11=3822
19100,1910,2411,D,D,
20111,2011,2411,D,D,
20112,2011,2411,D,D,
20113,2011,2411,D,D,
20115,2011,2411,D,D,
20121,2012,2412,D,D,
20122,2012,2412,D,D,
,,2412,D,D,"delete TSIC=38213, LFS11=3821"
20131,2013,2413,D,D,
20132,2013,2413,D,D,
20210,2021,2421,D,D,
20221,2022,2422,D,D,
20222,2022,2422,D,D,
21001,2100,2423,D,D,
21002,2100,2423,D,D,
32501,3250,2423,D,D,
32502,3250,2423,D,D,
20231,2023,2424,D,D,
20232,2023,2424,D,D,
10775,1077,2429,D,D,
20113,2011,2429,D,D,
20291,2029,2429,D,D,
20292,2029,2429,D,D,
20293,2029,2429,D,D,
20294,2029,2429,D,D,
20299,2029,2429,D,D,
26104,2610,2429,D,D,
26800,2680,2429,D,D,
28170,2817,2429,D,D,
20300,2030,2430,D,D,
22111,2211,2511,D,D,
22112,2211,2511,D,D,
22191,2219,2519,D,D,
22192,2219,2519,D,D,
22193,2219,2519,D,D,
22199,2219,2519,D,D,
22210,2221,2519,D,D,
28120,2812,2519,D,D,
32903,3290,2519,D,D,
33190,3319,2519,D,D,
22210,2221,2520,D,D,
22220,2222,2520,D,D,
22230,2223,2520,D,D,
22291,2229,2520,D,D,
22292,2229,2520,D,D,
22299,2229,2520,D,D,
26109,2610,2520,D,D,
27330,2733,2520,D,D,
32903,3290,2520,D,D,
33149,3314,2520,D,D,
33190,3319,2520,D,D,
33200,3320,2526,D,D,
23101,2310,2610,D,D,
23102,2310,2610,D,D,
23103,2310,2610,D,D,
23109,2310,2610,D,D,
33190,3319,2610,D,D,
23923,2392,2691,D,D,
23931,2393,2691,D,D,
23932,2393,2691,D,D,
23933,2393,2691,D,D,
23939,2393,2691,D,D,
23910,2391,2692,D,D,
23921,2392,2693,D,D,
23922,2392,2693,D,D,
23929,2392,2693,D,D,
23941,2394,2694,D,D,
23942,2394,2694,D,D,
23951,2395,2695,D,D,
23952,2395,2695,D,D,
23953,2395,2695,D,D,
23954,2395,2695,D,D,
23959,2395,2695,D,D,
23961,2396,2696,D,D,
23969,2396,2696,D,D,
13129,1312,2699,D,D,
23991,2399,2699,D,D,
23992,2399,2699,D,D,
23999,2399,2699,D,D,
32903,3290,2699,D,D,
33190,3319,2699,D,D,
24101,2410,2710,D,D,
24102,2410,2710,D,D,
24103,2410,2710,D,D,
24109,2410,2710,D,D,
24311,2431,2710,D,D,
24312,2431,2710,D,D,
24201,2420,2720,D,D,
24202,2420,2720,D,D,
24203,2420,2720,D,D,
24204,2420,2720,D,D,
24209,2420,2720,D,D,
30400,3040,2729,D,D,
24311,2431,2731,D,D,
24312,2431,2731,D,D,
